anime_id,title,title_japanese,episodes,aired_from,tags,image_url,image_path
8357,Himitsukessha Taka no Tsume The Movie 3: http://takanotsume.jp wa Eien ni,秘密結社鷹の爪 THE MOVIE3 http://鷹の爪.jp は永遠に,1,2010-01-16,origin g - all age dle comedi parodi superpow,https://myanimelist.cdn-dena.com/images/anime/10/22016.jpg,posters/8357.jpg
11341,Tantei Opera Milky Holmes Dai 2 Maku,探偵オペラ ミルキィホームズ 第2幕,12,2012-01-05,card game pg-13 - teen 13 or older j.c.staff artland comedi mysteri superpow,https://myanimelist.cdn-dena.com/images/anime/2/35372.jpg,posters/11341.jpg
33209,Huyao Xiao Hongniang: Wangquan Fugui,狐妖小红娘 王权富贵,14,2016-01-08,manga pg-13 - teen 13 or older haolinersanimationleagu comedi histor supernatur romanc,https://myanimelist.cdn-dena.com/images/anime/1822/91952.jpg,posters/33209.jpg
30103,Precure All Stars Movie: Haru no Carnival♪ - Ima Koko kara,映画プリキュアオールスターズ 春のカーニバル♪ 「イマココカラ」,1,2015-01-31,origin g - all age toeianim music magic fantasi shoujo,https://myanimelist.cdn-dena.com/images/anime/11/72109.jpg,posters/30103.jpg
17821,Stella Jogakuin Koutou-ka C³-bu,ステラ女学院高等科C³部（しーきゅーぶ）,13,2013-07-05,manga pg-13 - teen 13 or older gainax militari school sport,https://myanimelist.cdn-dena.com/images/anime/13/52125.jpg,posters/17821.jpg
6199,Mai-Otome Zwei Special,舞-乙HiME ZWEI,1,2008-03-04,origin g - all age sunris magic,https://myanimelist.cdn-dena.com/images/anime/9/13750.jpg,posters/6199.jpg
2757,Juuni Senshi Bakuretsu Eto Ranger,十二戦支　爆烈エトレンジャー,39,1995-04-07,origin pg-13 - teen 13 or older shaft action fantasi comedi,https://myanimelist.cdn-dena.com/images/anime/12/21253.jpg,posters/2757.jpg
13271,Hunter x Hunter Movie 1: Phantom Rouge,劇場版 HUNTER×HUNTER 緋色の幻影（ファントム・ルージュ）,1,2013-01-12,manga pg-13 - teen 13 or older madhous action adventur superpow shounen,https://myanimelist.cdn-dena.com/images/anime/6/53073.jpg,posters/13271.jpg
20385,Eguchi Hisashi no Kotobuki Gorou Show,江口寿史の寿五郎ショウ,4,1991-05-21,manga r+ - mild nuditi studiopierrot kyotoanim comedi ecchi parodi,https://myanimelist.cdn-dena.com/images/anime/13/54143.jpg,posters/20385.jpg
18639,Rinne no Lagrange Season 2 Specials,輪廻のラグランジェ season 2 ピクチャードラマ,6,2012-09-21,origin pg-13 - teen 13 or older xebec comedi,https://myanimelist.cdn-dena.com/images/anime/6/60967.jpg,posters/18639.jpg
8098,Soukyuu no Fafner: Dead Aggressor - Heaven and Earth,蒼穹のファフナー Dead Aggressor ~Heaven and Earth~,1,2010-12-25,origin pg-13 - teen 13 or older xebec action drama mecha militari sci-fi,https://myanimelist.cdn-dena.com/images/anime/5/31163.jpg,posters/8098.jpg
34312,Saimin Class,催眠クラス,2,2016-12-23,visual novel rx - hentai breakbottl hentai,https://myanimelist.cdn-dena.com/images/anime/5/82641.jpg,posters/34312.jpg
27633,Gekkan Shoujo Nozaki-kun Specials,月刊少女野崎くん ミニOVA,6,2014-09-24,4-koma manga pg-13 - teen 13 or older dogakobo comedi romanc school,https://myanimelist.cdn-dena.com/images/anime/9/66871.jpg,posters/27633.jpg
31640,Fuusen Inu Tinny 2nd Season,ふうせんいぬティニー 第2シリーズ,26,2015-09-25,pictur book g - all age steven&#039;steven adventur kid,https://myanimelist.cdn-dena.com/images/anime/3/76252.jpg,posters/31640.jpg
17469,Kouchuu Ouja Mushiking: Greatest Champion e no Michi,劇場版甲虫王者ムシキング グレイテストチャンピオンへの道,1,2005-12-17,card game g - all age tmsentertain game,https://myanimelist.cdn-dena.com/images/anime/7/46677.jpg,posters/17469.jpg
